,name,address,sido,gungu
358,미금점,경기도 성남시분당구 미금일로 55 상가동108호,경기도,성남시
359,미룡산북점,전라북도 군산시 부곡로 125(미룡동),전라북도,군산시
360,미아점,서울특별시 강북구 도봉로29길 10 1층,서울특별시,강북구
361,미원점,충청북도 청원군 미원면 미원시내2길 19-3,충청북도,청원군
362,민락점,경기도 의정부시 오목로 99,경기도,의정부시
363,밀양댐점,경상남도 밀양시 단장면 고례리 1521-3,경상남도,밀양시
364,박달2점,경기도 안양시만안구 박달동 134-5,경기도,안양시
365,반구점,울산광역시 중구 반구동 101-8,울산광역시,중구
366,반달마을점,"경기도 부천시원미구 상동 397, 반달상가1층",경기도,부천시
367,반송2점,부산광역시 해운대구 반송동 62-340,부산광역시,해운대구
368,반여점,부산광역시 해운대구 선수촌로 207번가길 67,부산광역시,해운대구
369,반월점,전라북도 전주시덕진구 반월동 1229 반월주공아파트상가 104호,전라북도,전주시
370,반포동점,서울특별시 서초구 반포1동 717-10 101,서울특별시,서초구
371,발산동점,서울특별시 강서구 우장산로 9(내발산동),서울특별시,강서구
372,발안1점,경기도 화성시 향남읍 장짐리 216-4 대준빌딩1층,경기도,화성시
373,방배본점,서울특별시 서초구 동광로11길 25. 1층(방배동),서울특별시,서초구
374,방어진점,울산광역시 동구 방어동 문현지구 70B10N,울산광역시,동구
375,방이2점,서울특별시 송파구 방이동 159-16,서울특별시,송파구
376,방화1점,"서울특별시 강서구 양천로11길 8 (방화동, 1층)",서울특별시,강서구
377,방화2점,"서울특별시 강서구 방화동로 116-1(방화동, 1층)",서울특별시,강서구
378,배곧신도시1점,경기도 시흥시 배곧4로 32-13 102호,경기도,시흥시
379,백련시장점,서울특별시 서대문구 남가좌2동 347-1,서울특별시,서대문구
380,백석점,경기도 양주시 백석읍 양주산성로 ,경기도,양주시
381,백암점,경상북도 울진군 온정면 소태리 933,경상북도,울진군
382,백양사점,전라남도 장성군 북하면 백양로 904,전라남도,장성군
383,백천점,경상북도 경산시 백천동 573-1 108,경상북도,경산시
384,백학점,경기도 연천군 백학면 두일로143번길 37,경기도,연천군
385,번동점,서울특별시 강북구 번3동 307 1층 5호,서울특별시,강북구
386,범서점,울산광역시 울주군 범서읍 점촌5길 37,울산광역시,울주군
387,범어점,경상남도 양산시 물금읍 범어리 721-1,경상남도,양산시
388,범어B점,대구광역시 수성구 동대구로77길 24,대구광역시,수성구
389,법1동점,대전광역시 대덕구 법동 281 삼정하이츠@상가 1층,대전광역시,대덕구
390,법2동점,대전광역시 대덕구 법동 206-6,대전광역시,대덕구
391,별내점,경기도 남양주시 별내중앙로26 111호,경기도,남양주시
392,병영점,울산광역시 중구 병영로 80,울산광역시,중구
393,병점점,경기도 화성시 병점동 828-2,경기도,화성시
394,병천점,충청남도 천안시동남구 병천면 병천리 157-17,충청남도,천안시
395,보개점,경기도 안성시 보개면 남사당로 1-3,경기도,안성시
396,보광2점,"서울특별시 용산구 장문로6길 101, 지상1층(동빙고동 1-9)",서울특별시,용산구
397,보라매동점,서울특별시 관악구 보라매로 22 (봉천동),서울특별시,관악구
398,보라점,경기도 용인시기흥구 사은로 116,경기도,용인시
399,보은점,충청북도 보은군 보은읍 삼산리 44-1,충청북도,보은군
400,복대점,충청북도 청주시흥덕구 복대로199번길 3,충청북도,청주시
401,복수점,대전광역시 서구 복수동 283-397,대전광역시,서구
402,복창점,"경기도 평택시 신장동 서밀월로18,2층",경기도,평택시
403,본리점,대구광역시 달서구 본리동 81-3번지,대구광역시,달서구
404,본오2점,경기도 안산시상록구 각골로 123,경기도,안산시
405,봉계점,울산광역시 울주군 두동면 계명1길 39(1층),울산광역시,울주군
406,봉담와우리점,경기도 화성시 봉담읍 와우로15번길 55-9 효성@상가1층,경기도,화성시
407,봉담점,경기도 화성시 봉담읍 진등1길 57-1,경기도,화성시
408,봉덕2점,대구광역시 남구 봉덕동 924-3,대구광역시,남구
409,봉동점,전라북도 완주군 봉동읍 장기리 214-1,전라북도,완주군
410,봉명동점,충청북도 청주시흥덕구 주현로25번길 20(봉명동),충청북도,청주시
411,봉산점,강원도 원주시 치악로 1867 (봉산동),강원도,원주시
412,봉암리점,경기도 양주시 은현면 은현로 521,경기도,양주시
413,봉천2동점,서울특별시 관악구 봉천동 7-125,서울특별시,관악구
414,봉천행복점,"서울특별시 관악구 행운길 7, 1층(봉천동)",서울특별시,관악구
415,봉천현대점,"서울특별시 관악구 양녕로 35-1, 1층(봉천동)",서울특별시,관악구
416,봉평점,강원도 평창군 봉평면 기풍3길 28,강원도,평창군
417,봉화점,경상북도 봉화군 봉화읍 내성리 236-17,경상북도,봉화군
418,부강점,세종특별자치시   부강면 부강2길 11,세종특별자치시,
419,부개주공점,인천광역시 부평구 부개동 12-380 부개택지개발 1블럭,인천광역시,부평구
420,부곡온천점,경상남도 창녕군 부곡면 온천중앙로 47,경상남도,창녕군
421,부곡점(안산),경기도 안산시상록구 부곡동 685-11 안산제2종합시장 1003호,경기도,안산시
422,부곡점(의왕),경기도 의왕시 솔밭길 31,경기도,의왕시
423,부기점,경상북도 경산시 진량읍 금호강변로 820 창신무학타운110,경상북도,경산시
424,부론점,강원도 원주시 부론면 법천시장길 66-11,강원도,원주시
425,부발점,경기도 이천시 부발읍 무촌로 137,경기도,이천시
426,부사점,대전광역시 중구 부사동 150-6,대전광역시,중구
427,부산송정점,부산광역시 해운대구 송정중앙로 15-1,부산광역시,해운대구
428,부산신평점,부산광역시 사하구 다대로142번길 130(신평동),부산광역시,사하구
429,부산지사, ,,
430,부석점,경상북도 영주시 부석면 소천리 381-7,경상북도,영주시
431,부송점,전라북도 익산시 부송1로 65,전라북도,익산시
432,부안점,강원도 춘천시 후석로 261(후평동),강원도,춘천시
433,부여점,충청남도 부여군 부여읍 성왕로 173번길 12,충청남도,부여군
434,부평남부점,인천광역시 부평구 부평6동 654-1,인천광역시,부평구
435,북가좌1점,"서울특별시 서대문구 증가로20길 80, 1층(북가좌동)",서울특별시,서대문구
436,북가좌2점,서울특별시 서대문구 북가좌2동 107-1 1층,서울특별시,서대문구
437,북문점,경기도 수원시장안구 영화동 325-4,경기도,수원시
438,북변점,경기도 김포시 북변동 688 대우아파트상가 111호,경기도,김포시
439,북부점(경주),경상북도 경주시 동부동 75-8,경상북도,경주시
440,북부점(포항),경상북도 포항시북구 두호동 1035-7,경상북도,포항시
441,북삼점,경상북도 칠곡군 북삼읍 평원2길 15,경상북도,칠곡군
442,북평점,강원도 동해시 대동로 131(북평동),강원도,동해시
443,북항점,전라남도 목포시 원산동 원산중앙로32,전라남도,목포시
444,분당동점,경기도 성남시분당구 분당동 39 샛별마을 삼부아파트상가 -101 1호,경기도,성남시
445,분평동점,"충청북도 청주시서원구 분평동 청남로2005번길, 27",충청북도,청주시
446,불광동점,"서울특별시 은평구 연서로34길 16(불광동, 1층)",서울특별시,은평구
447,불노지구점,인천광역시 서구 검단로 836 불로월드타운 1층 65호,인천광역시,서구
448,불당점,충청남도 천안시서북구 불당동 1124  101호,충청남도,천안시
449,불로점,대구광역시 동구 불로동 1139-7,대구광역시,동구
450,비래가양점,대전광역시 동구 가양2동 47-64,대전광역시,동구
451,비산1동점,"경기도 안양시동안구 비산로 21, 1층 102호(비산동)",경기도,안양시
452,비산삼호점,경기도 안양시동안구 비산동 377-4,경기도,안양시
453,비산점,대구광역시 서구 평리동 791-24,대구광역시,서구
454,비산B점,대구광역시 서구 비산1동 723-1,대구광역시,서구
455,비인점,충청남도 서천군 비인면 성내리 338-5,충청남도,서천군
456,사당4점,서울특별시 동작구 사당동 1033-23,서울특별시,동작구
457,사동2점,"경기도 안산시상록구 감골로 43(사동, 102호)",경기도,안산시
458,사동리점,경기도 이천시 대월면 사동로 162,경기도,이천시
459,사동점,경기도 안산시상록구 사동 1285-3,경기도,안산시
460,사북점,강원도 정선군 사북읍 사북중앙로 13,강원도,정선군
461,사우동점,강원도 춘천시 영서로 2818(사농동),강원도,춘천시
462,사우지구점,경기도 김포시 북변동 832 영풍아파트상가 104,경기도,김포시
463,사직점,부산광역시 동래구 사직동 19-45,부산광역시,동래구
464,사창동점,충청북도 청주시서원구 1순환로 688(사창동),충청북도,청주시
465,사창리점,강원도 화천군 사내면 사내로 47-1,강원도,화천군
466,산격점,대구광역시 북구 산격동 1232-3,대구광역시,북구
467,산본13점,"경기도 군포시 산본동 1059 우성상가A동 8,9호",경기도,군포시
468,산본3점,"경기도 군포시 광정로 25-16. 103호(금정동,퇴계종합상가)",경기도,군포시
469,산본6점,"경기도 군포시 산본천로 34-5(산본동, 세종종합상가동101호)",경기도,군포시
470,산본9점,경기도 군포시 산본동 수리산로203번안길 34 ,경기도,군포시
471,산본리점,경기도 군포시 금산로 62(산본동),경기도,군포시
472,산북점,경기도 여주군 산북면 상품로 99,경기도,여주시
473,산성점,대전광역시 중구 산성동 121-1,대전광역시,중구
474,삼계점,경상남도 김해시 삼계동 가야로 147번길 12-1 ,경상남도,김해시
475,삼광점,강원도 원주시 행구로 91(봉산동),강원도,원주시
476,삼동점,경기도 광주시 순암로 509(삼동),경기도,광주시
477,삼방점,경상남도 김해시 삼안로235번길 14(삼방동668-17),경상남도,김해시
478,삼보영남점,경기도 부천시원미구 중동 1170 삼보상가 109,경기도,부천시
479,삼산점,인천광역시 부평구 삼산동 201-3,인천광역시,부평구
480,삼성동점,"서울특별시 강남구 영동대로112길 61, 1층(삼성동)",서울특별시,강남구
481,삼송리점,경기도 고양시덕양구 삼송로193길 1-2,경기도,고양시
482,삼양동점,서울특별시 강북구 미아동 833-12,서울특별시,강북구
483,삼환대우점,"인천광역시 연수구 원인재로 88(동춘동, 삼환아파트상가동211호)",인천광역시,연수구
484,삽교점,충청남도 예산군 삽교읍 두리 570-52,충청남도,예산군
485,상계역점,"서울특별시 노원구 상계로23다길 4, 102호(상계동)",서울특별시,노원구
486,상대원1점,경기도 성남시중원구 박석로62번길 1(상대원동),경기도,성남시
487,상도4동점,서울특별시 동작구 상도4동 210-8,서울특별시,동작구
488,상도동점,서울특별시 동작구 상도동 22-107 102,서울특별시,동작구
489,상동라일락점,"경기도 부천시원미구 도약로 35, 105(상동)",경기도,부천시
490,상동점,전라북도 정읍시 상동 265-1(충정로 37),전라북도,정읍시
491,상동현대점,"경기도 부천시원미구 상동 555-8, 102호",경기도,부천시
492,상리점,경기도 여주군 여주읍 청심로 232,경기도,여주시
493,상무동점,"광주광역시 서구 치평로 15-1(치평동, 라이대주아파트상가215동111호)",광주광역시,서구
494,상봉동점(서울),서울특별시 중랑구 봉우재로 161(상봉동),서울특별시,중랑구
495,상운점,경상북도 봉화군 상운면 예봉로 1276,경상북도,봉화군
496,상인점,대구광역시 달서구 상인동 1457-16,대구광역시,달서구
497,상일동점,서울특별시 강동구 상일동 207 1층,서울특별시,강동구
498,새마을점,경기도 안양시만안구 안양동 759-51,경기도,안양시
499,샘머리점,대전광역시 서구 둔산동 908 상록스토아 306,대전광역시,서구
500,샘터점,경기도 고양시덕양구 화신로 73 D상가 103호,경기도,고양시
